Job Title,Company Name,Location,Job Type,Level,Years of Experience,Skills,Country
Financial Analyst – Feasibility & Investment Evaluation,Tahya Masr Holding,"Heliopolis, Cairo, Egypt","Full Time, On-site",N/A, 5+ Yrs of Exp,"Experienced, · Accounting/Finance, · Financial Analysis, · Feasibility Studies, · Project Evaluation, · Investment Analysis, · Financial Modeling, · Business Valuation, · Cash Flow Analysis, · Scenario & Sensitivity Analysis, · Financial Reporting",Egypt
Senior Financial Analyst (FP&A),GlassRock Insulation Co.,"Maadi, Cairo, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · Accounting/Finance, · Analyst/Research, · Financial Analysis, · Financial Modeling, · Microsoft Excel, · Finance, · Financial Services, · Financial Accounting, · Finance Analysis",Egypt
Data Entry-Level Operations Analyst (Remote),Loyal To Cumbria,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Experienced, · Administration, · IT/Software Development, · Analyst/Research, · Administration, Data Entry, · Customer Service, · Computer Science, · Information Technology (IT), · Microsoft Office, · Operations",Egypt
Administrative Data Entry Operations Analyst (Remote),Loyal To Cumbria,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Experienced, · Administration, · IT/Software Development, · Analyst/Research, · Administration, Data Entry, · Microsoft Office, · Admin, · Computer Science, · Customer Service, · Information Technology (IT)",Egypt
Remote Data Analyst Specialist,PulseMediaNL (LATAM REGION),"Riyadh, Saudi Arabia",Full Time,Entry Level,N/A,"· IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology, · information technology (it), · computer science, · customer service, · erp, · analysis, · communication skills, · quality",Egypt
Bookkeeping Analyst I,Assist Group Limited ,"Faisal, Giza, Egypt","Full Time, On-site",Entry Level,N/A,"· Accounting/Finance, · Bookkeeping, · Financial Reporting, · Bank Reconciliation, Data Entry, · QuickBooks, · English Communication, · Microsoft Excel, · Attention to Detail",Egypt
Microsoft Business Analyst/CRM/PowerPlatform Expert,Teaspoon,"San Jose, United States","Full Time, Remote",N/A, 3 - 10 Yrs of Exp,"Experienced, · IT/Software Development, · Microsoft Power BI, · Microsoft Azure, · Reporting, · Reporting Analysis, · Microsoft Office 365, · Microsoft Dynamics CRM, · Microsoft PowerPlatform, · Microsoft PowerApps",Egypt
Entry Level Data Analyst (Remote),PULSE MEDIA (EMEA REGION),"Riyadh, Saudi Arabia",Full Time,Entry Level,N/A,"· Accounting/Finance, · IT/Software Development, · Analyst/Research, · microsoft office, · information technology (it), · computer science, · accounting, · analysis, · microsoft excel, data analysis",Egypt
Finance & Data Research Analyst (Remote),Nexus Consulting,"Riyadh, Saudi Arabia",Freelance / Project,N/A,N/A,"Not specified, · Accounting/Finance, · Operations/Management, · Analyst/Research, · Finance, · Accounting, · Financial Analysis, · Financial Management, · Microsoft Office, · Commerce, · Microsoft Excel",Egypt
Financial and Credit Analyst,شركه اداره وجوده لخدمات الاعمال ,"Riyadh, Saudi Arabia","Full Time, Remote",N/A, 10 - 15 Yrs of Exp,"Manager, · Accounting/Finance, · تقييم المخاطر, · إعداد التقارير المالية, · التحليل المالي, · التخطيط المالي, · إعداد الميزانيات",Egypt
